split,img,label,gaze
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,CUB_GHA/2.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,CUB_GHA/4.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,CUB_GHA/5.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,0,CUB_GHA/7.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,CUB_GHA/8.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,CUB_GHA/9.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,CUB_GHA/11.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,CUB_GHA/15.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,CUB_GHA/18.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,CUB_GHA/20.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,CUB_GHA/21.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0,CUB_GHA/23.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,0,CUB_GHA/30.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,CUB_GHA/31.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,0,CUB_GHA/32.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,0,CUB_GHA/35.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,CUB_GHA/36.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,CUB_GHA/37.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,CUB_GHA/40.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,CUB_GHA/41.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,CUB_GHA/42.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,CUB_GHA/43.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,CUB_GHA/46.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,CUB_GHA/49.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,CUB_GHA/51.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,CUB_GHA/53.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,CUB_GHA/55.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,CUB_GHA/56.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,CUB_GHA/58.jpg
1,images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0,CUB_GHA/60.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,CUB_GHA/62.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,CUB_GHA/64.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,CUB_GHA/66.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,CUB_GHA/67.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,CUB_GHA/69.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,CUB_GHA/72.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,CUB_GHA/73.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,CUB_GHA/74.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,CUB_GHA/75.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,CUB_GHA/77.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,CUB_GHA/78.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,CUB_GHA/80.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,CUB_GHA/81.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,CUB_GHA/84.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,CUB_GHA/86.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,1,CUB_GHA/89.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,CUB_GHA/96.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,CUB_GHA/97.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,CUB_GHA/99.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,CUB_GHA/102.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,CUB_GHA/104.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,CUB_GHA/105.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,CUB_GHA/109.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,CUB_GHA/110.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,CUB_GHA/111.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,1,CUB_GHA/113.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,1,CUB_GHA/115.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,CUB_GHA/116.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,CUB_GHA/117.jpg
1,images/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,CUB_GHA/120.jpg
1,images/003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,2,CUB_GHA/121.jpg
1,images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,2,CUB_GHA/122.jpg
1,images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,2,CUB_GHA/123.jpg
1,images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,2,CUB_GHA/124.jpg
1,images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,2,CUB_GHA/125.jpg
